Datetime,LOAD_CAPITL_t-21,LOAD_CAPITL_t-22,LOAD_CAPITL_t-23,LOAD_CAPITL_t-24,LOAD_DUNWOD_t-21,LOAD_DUNWOD_t-22,LOAD_DUNWOD_t-23,LOAD_DUNWOD_t-24,LOAD_GENESE_t-17,LOAD_GENESE_t-18,LOAD_GENESE_t-20,LOAD_GENESE_t-21,LOAD_GENESE_t-22,LOAD_GENESE_t-23,LOAD_GENESE_t-24,LOAD_HUD VL_t-20,LOAD_HUD VL_t-21,LOAD_HUD VL_t-24,LOAD_LONGIL_t-13,LOAD_LONGIL_t-17,LOAD_LONGIL_t-18,LOAD_LONGIL_t-19,LOAD_LONGIL_t-20,LOAD_LONGIL_t-21,LOAD_LONGIL_t-22,LOAD_LONGIL_t-23,LOAD_LONGIL_t-24,LOAD_MILLWD_t-15,LOAD_N.Y.C._t-21,LOAD_N.Y.C._t-22,LOAD_N.Y.C._t-23,LOAD_N.Y.C._t-24,temp_CAPITL_t-3,temp_CAPITL_t-9,temp_CAPITL_t-18,temp_CAPITL_t-20,temp_CENTRL_t-3,temp_CENTRL_t-6,temp_CENTRL_t-11,temp_CENTRL_t-21,temp_CENTRL_t-23,temp_CENTRL_t-24,temp_GENESE_t-6,temp_GENESE_t-8,temp_GENESE_t-11,temp_GENESE_t-20,temp_GENESE_t-21,temp_GENESE_t-22,temp_GENESE_t-24,temp_LONGIL_t-18,temp_N.Y.C._t-24,temp_WEST_t-3,temp_WEST_t-6,temp_WEST_t-8,temp_WEST_t-19,temp_WEST_t-20,temp_WEST_t-21,temp_WEST_t-22,temp_WEST_t-23,temp_WEST_t-24,last_24h_mean_DUNWOD_t-17,last_24h_mean_DUNWOD_t-20,last_24h_mean_HUD VL_t-24,last_24h_mean_LONGIL_t-12,is_weekend_0,is_weekend_1
2/21/18,1401.175,1320.816667,1229.633333,1141.441667,671.75,639.8,591.775,535.7083333,1152.916667,1169.566667,1193.191667,1145.45,1085.325,1005.883333,946.6083333,1194.766667,1168.791667,938.975,2036.766667,2147.191667,2286.883333,2446.525,2424.3,2341.108333,2216.808333,2045.875,1866.766667,281.4333333,5871.65,5647.575,5323.925,4967.333333,4.0,4.0,9.0,13.0,7.2,7.2,9.4,20.0,18.9,18.9,7.2,8.3,9.4,18.9,20.0,20.0,18.9,17.0,17.8,12.8,14.4,11.0,18.9,15.6,13.9,14.4,16.1,17.2,619.7724826,618.6162326,1036.75026,2087.885156,1,0
2/22/18,1379.766667,1306.566667,1216.075,1138.925,671.1666667000002,637.0833332999998,575.8083333,530.8166666999998,1170.341667,1202.858333,1244.275,1205.541667,1145.8,1076.866667,1003.791667,1165.975,1115.141667,911.1416667,2034.375,2145.941667,2264.783333,2435.816667,2402.225,2324.141667000001,2196.441667,2015.016667,1836.708333,272.0583333,5948.091667000002,5669.275,5313.15,4919.15,6.0,5.5,18.0,21.0,16.7,16.1,14.4,7.2,5.0,4.4,16.1,15.0,14.4,6.7,7.2,5.6,4.4,13.0,23.3,18.9,18.9,19.0,3.9,3.9,4.4,4.4,3.9,3.3,606.5125,607.7378472,999.9767361,2005.127778,1,0
2/23/18,1516.925,1448.925,1365.691667,1276.533333,716.9416667,686.8,636.1916667,585.6916667,1188.65,1226.491667,1278.891667,1236.858333,1178.858333,1104.65,1032.066667,1290.933333,1252.241667,1019.091667,2340.808333,2456.741667,2564.5,2629.125,2594.016667000001,2511.208333,2383.6,2210.391667000001,2029.208333,320.0333333000001,6043.5333329999985,5817.5,5519.891667,5166.208333,4.0,2.75,0.0,-1.0,3.3,1.7,0.0,0.6,0.0,0.0,1.7,0.6,0.0,0.0,0.6,0.6,0.0,6.0,3.3,2.2,0.6,-1.0,0.6,2.0,2.2,2.8,2.2,1.7,622.9756944000002,627.3336806,1070.303819,2007.899306,1,0
2/24/18,1485.208333,1419.0,1336.958333,1245.75,725.6916667,700.2416667,656.525,607.6333333,1180.8,1188.508333,1185.235714,1145.216667,1096.866667,1027.066667,963.0,1249.342857,1218.825,1019.291667,2426.566667,2477.066667,2551.75,2624.125,2555.064286,2459.5,2342.25,2195.266667000001,2034.175,346.5357143,5982.508333,5762.233333,5495.9083329999985,5176.0916670000015,-2.714285714,-2.583333333,1.0,1.0,0.0,0.0,0.0,4.4,4.4,5.0,0.0,0.0,0.0,3.9,4.4,5.0,5.0,4.0,4.4,0.6,1.1,1.1,9.4,10.0,10.0,10.0,10.6,7.8,664.6596726,668.0268848999998,1120.575843,2218.1134920000004,0,1
2/25/18,1383.466667,1332.808333,1261.842857,1203.8,657.0916667,639.4666667,606.5571428999998,569.2166667,1066.575,1088.9,1156.433333,1131.741667,1087.833333,1026.642857,977.3666667,1149.333333,1130.858333,976.7083332999997,2080.25,2201.516667000001,2305.775,2376.516667000001,2321.883333,2260.933333,2185.95,2062.721429,1927.05,302.7916667,5513.625,5384.075,5196.971429,4975.916667,1.875,4.0,6.0,6.0,5.6,6.7,7.2,3.9,3.3,2.8,6.7,7.8,7.2,4.4,3.9,3.3,2.8,12.0,8.3,5.0,3.9,4.0,2.8,2.8,2.8,2.8,3.3,2.8,615.5779762,603.9284722,1018.169494,2119.615526,0,1
2/26/18,1418.166667,1339.208333,1249.466667,1165.383333,695.0666667,667.7,616.6916667,572.1833333,1027.108333,1087.308333,1176.433333,1144.416667,1091.733333,1022.2,969.2916667000003,1215.883333,1180.458333,965.7166667,2284.658333,2290.416667,2403.775,2501.266667000001,2465.666667,2375.4,2254.233333,2090.425,1907.416667,308.1583333000001,5674.683333,5503.341667000002,5260.7,4943.433333,4.055555556,2.388888889,4.0,4.2,1.7,1.7,4.4,11.7,11.7,8.9,1.7,1.7,4.4,10.6,11.7,12.2,8.9,7.0,6.1,2.8,3.3,3.0,5.6,6.1,3.9,3.9,2.8,2.2,602.8676587,606.5801587000002,1046.404861,1999.550198,1,0
2/27/18,1460.691667,1392.958333,1305.766667,1210.583333,728.2333332999997,695.0166667000003,637.5166667000002,580.575,1151.258333,1183.958333,1265.708333,1231.575,1171.141667,1086.808333,1015.75,1222.983333,1200.35,987.5416667000003,2170.558333,2286.0,2413.841667,2597.0,2581.141667000001,2514.958333,2389.508333,2183.875,1990.458333,280.9916667,6029.591667000002,5795.425,5463.333333,5066.6,4.923076923,4.461538462,5.857142857,6.714285714,6.1,4.4,1.7,8.3,7.2,5.6,4.4,3.3,1.7,8.3,8.3,8.3,5.6,10.0,10.6,1.7,1.7,2.0,4.4,3.9,4.4,3.9,2.8,1.7,635.2568452,639.4558036000002,1041.128423,2112.604167,1,0
2/28/18,1446.708333,1376.716667,1275.025,1188.358333,719.1083332999997,682.275,631.15,575.55,1097.175,1144.733333,1216.558333,1187.525,1126.4,1045.45,977.3333332999997,1202.4,1171.558333,967.4083333,1972.581818,2139.391667000001,2320.8,2540.9,2542.341667,2476.908333,2350.933333,2148.5,1959.341667,277.1916667,5981.608333,5744.475,5409.225,5022.166667,2.0,2.454545455,9.0,12.0,2.2,0.0,0.0,12.8,12.2,10.0,0.0,0.6,0.0,11.7,12.8,12.8,10.0,12.0,11.7,0.0,0.0,-1.0,8.3,9.4,10.0,10.6,10.6,7.2,634.9967892999998,633.3801227000001,1024.979221,2126.628373,1,0
3/1/18,1399.916667,1317.191667,1217.916667,1125.85,707.0666667,668.5416667000002,610.425,553.1916667,1121.208333,1141.333333,1203.758333,1166.283333,1104.016667,1020.975,951.5583332999997,1178.433333,1141.375,933.3083332999997,1935.966667,2125.433333,2284.716667,2508.341667,2492.716667,2424.933333,2290.183333,2089.041667,1883.591667,253.7666667,5873.2833329999985,5627.008333,5290.066667,4919.825,4.0,2.0,13.0,15.0,2.8,6.7,2.2,15.0,9.4,10.0,6.7,5.0,2.2,15.6,15.0,10.6,10.0,10.0,14.4,5.6,5.0,6.0,13.3,8.9,7.8,8.3,8.3,9.4,629.5842567000002,627.9557844999998,1003.07732,2050.792573,1,0
3/2/18,1416.816667,1349.0,1248.333333,1154.675,691.3583332999997,658.6833333,614.35,569.9916667,1204.5,1232.566667,1251.833333,1223.175,1167.058333,1105.066667,1036.225,1177.966667,1155.175,959.2166667,2086.016667000001,2223.108333,2365.175,2497.291667,2475.933333,2393.916667,2276.141667000001,2082.7,1897.733333,235.2416667,5847.391667,5641.45,5337.05,4969.8,9.0,8.684210526000001,8.210526316000001,8.105263158,11.1,10.0,2.8,2.2,2.2,2.2,10.0,8.3,2.8,2.2,2.2,2.2,2.2,15.0,12.8,7.8,4.4,2.0,2.8,3.0,2.8,2.2,1.7,1.7,611.7308532000002,611.6187004,1008.103522,2013.844452,1,0
