Datetime,LOAD_CAPITL_t-22,LOAD_CAPITL_t-23,LOAD_CAPITL_t-24,LOAD_CENTRL_t-23,LOAD_CENTRL_t-24,LOAD_DUNWOD_t-24,LOAD_GENESE_t-22,LOAD_GENESE_t-23,LOAD_GENESE_t-24,LOAD_LONGIL_t-18,LOAD_LONGIL_t-19,LOAD_LONGIL_t-20,LOAD_LONGIL_t-21,LOAD_LONGIL_t-22,LOAD_LONGIL_t-23,LOAD_LONGIL_t-24,LOAD_MHK VL_t-24,LOAD_N.Y.C._t-22,LOAD_N.Y.C._t-23,LOAD_N.Y.C._t-24,temp_GENESE_t-24,temp_WEST_t-23,last_week_mean_LONGIL_t-21,is_weekend_0,is_weekend_1
3/16/18,1430.791667,1328.816667,1236.125,1885.2,1761.408333,595.8916667000002,1195.416667,1120.75,1043.291667,2349.533333,2450.808333,2581.408333,2577.483333,2480.933333,2287.608333,2088.825,883.3666667000001,5990.95,5690.958333,5315.416667,1.7,0.6,2188.634883,1,0
3/17/18,1457.975,1377.718182,1294.733333,1970.6,1876.875,638.9916667,1200.608333,1132.981818,1062.158333,2282.366667,2414.708333,2582.757143,2601.766667000001,2538.366667,2395.763636,2226.2,973.5333333,6049.9083329999985,5786.154545,5472.266667,-3.9,-1.7,2181.994953,0,1
3/18/18,1404.966667,1346.141667,1283.391667,1790.7,1744.233333,602.9083333,1102.083333,1051.333333,991.1666667000003,2152.808333,2202.108333,2349.55,2365.85,2324.275,2218.641667000001,2081.166667,897.6,5566.4,5426.633333,5171.883333,2.2,0.6,2180.733852,0,1
3/19/18,1433.708333,1338.066667,1250.075,1835.491667,1744.25,586.6083332999998,1115.783333,1049.091667,987.0666667000003,2120.675,2244.658333,2432.258333,2486.583333,2406.641667000001,2246.725,2068.833333,898.9416667000003,5651.675,5428.0916670000015,5098.8,1.1,2.8,2186.2538600000007,1,0
3/20/18,1471.516667,1366.891667,1265.875,1930.533333,1833.608333,587.575,1218.541667,1138.1,1060.366667,2232.575,2363.016667000001,2535.858333,2575.025,2465.875,2281.758333,2073.275,944.8916667,5956.691667,5630.0,5227.983333,-1.7,-0.6,2181.081949,1,0
3/21/18,1486.458333,1371.75,1276.133333,1967.658333,1840.241667,585.0333333,1232.183333,1151.066667,1078.375,2573.991667,2635.675,2711.808333,2669.716667,2548.633333,2358.183333,2159.608333,945.4,6115.35,5807.05,5420.233333,-1.1,0.0,2180.003995,1,0
3/22/18,1480.7,1374.608333,1270.666667,1932.35,1820.858333,603.5,1218.183333,1129.508333,1049.7,2638.9,2676.991667,2717.5,2671.1,2518.1,2335.275,2151.741667,892.9,6130.15,5828.341667000002,5445.133333,-1.1,1.7,2194.971081,1,0
3/23/18,1429.491667,1327.85,1236.316667,1879.825,1774.966667,585.8416667,1185.783333,1115.25,1040.075,2296.325,2376.9,2515.675,2536.55,2421.266667000001,2242.716667,2056.125,883.1833332999997,5966.525,5653.25,5293.983333,2.2,1.7,2196.901208,1,0
3/24/18,1403.233333,1315.308333,1238.566667,1864.766667,1765.875,595.7333332999998,1149.966667,1088.941667,1023.358333,2224.175,2313.516667000001,2431.516667000001,2422.441667,2345.491667,2213.383333,2055.008333,893.15,5778.7833329999985,5525.741667,5223.9083329999985,1.7,2.8,2189.1093920000008,0,1
3/25/18,1354.666667,1299.016667,1228.016667,1845.308333,1763.6666670000006,578.85,1105.308333,1055.191667,998.8916667,1968.908333,2075.9,2224.966667,2278.183333,2219.225,2125.641667000001,1991.333333,871.6916667000003,5453.5333329999985,5304.2166670000015,5074.166667,-1.7,0.6,2168.037684,0,1
3/26/18,1395.741667,1303.733333,1206.808333,1782.7416670000002,1714.641667,568.8166667,1099.541667,1036.108333,973.0416667000003,2090.258333,2200.225,2361.166667,2426.933333,2342.441667,2186.525,2008.925,850.925,5601.0333329999985,5367.025,5086.383333,4.4,3.3,2163.362457,1,0
3/27/18,1411.416667,1322.633333,1224.791667,1846.633333,1727.1916670000005,588.8833333,1141.391667,1062.108333,990.5083333,2177.125,2310.583333,2476.0,2538.233333,2435.566667,2248.941667,2057.125,858.2583332999999,5936.516667,5591.275,5194.6,8.3,10.0,2156.661791,1,0
3/28/18,1424.064286,1319.333333,1224.65,1880.233333,1766.0583329999995,584.4916667,1159.25,1080.416667,1002.233333,2341.8,2437.266667000001,2559.5,2540.933333,2413.378571,2225.491667,2013.925,878.975,5900.842857,5568.2,5161.166667,2.2,5.6,2136.975163,1,0
3/29/18,1408.716667,1297.566667,1190.2,1832.25,1706.983333,552.8416667,1130.1,1044.433333,966.3583333,2281.383333,2362.35,2459.383333,2460.208333,2357.166667,2158.158333,1952.3166670000005,817.5916667,5809.7833329999985,5486.858333,5073.4083329999985,6.1,6.7,2101.639222,1,0
3/30/18,1395.283333,1287.416667,1185.141667,1812.933333,1689.925,572.475,1104.741667,1030.2,947.1166667,2252.258333,2325.108333,2419.366667,2405.692857,2310.291667,2134.916667,1948.958333,816.1666667000003,5735.258333,5439.775,5077.016667,11.7,8.3,2081.561947,1,0
3/31/18,1323.685714,1252.3,1183.025,1862.591667,1770.466667,571.7083332999998,1078.042857,1022.016667,956.2,2225.308333,2275.441667,2319.216667,2312.441667,2222.05,2100.883333,1948.133333,818.9333333,5485.992857,5268.9,4982.391667,3.9,5.6,2065.985289,0,1
